id,time,label,veg,prec,ag,ap,bg,bx,cbh,lap,nag,enzyme_c
55,T3,5RRX,Grassland,Reduced,6.424005501,37.34077338,167.0516046,21.37898898,70.92405335,68.81413508,61.62204984,265.7786524
59,T3,7LRX,Grassland,Reduced,2.805975532,17.06417691,119.1180548,21.08683603,52.86279728,11.55774484,50.09632835,195.8736637
4,T4,14RRX,Grassland,Reduced,2.717595013,13.38392263,68.08863345,11.38847508,35.70299472,7.899788664,47.04897635,117.8976983
12,T4,20LRX,Grassland,Reduced,1.842903815,14.8842273,54.42781352,11.69866969,30.11787414,4.368178119,35.20179186,98.08726117
56,T4,5RRX,Grassland,Reduced,1.682019825,11.65397279,50.61461239,8.468908358,22.01402347,5.268222911,31.09694059,82.77956404
60,T4,7LRX,Grassland,Reduced,2.293499325,12.45751491,56.8582428,8.207278161,24.5227281,7.061145736,34.49584752,91.88174839
17,T1,25LRX,Shrubland,Reduced,,3.568255965,34.06494875,1.271165815,4.961448705,,2.769781927,40.79925714
29,T1,35LRX,Shrubland,Reduced,0.50169387,8.255658374,25.31135389,9.136408783,11.47679421,0.776649934,4.663805914,46.19800617
33,T1,45LRX,Shrubland,Reduced,0.273449288,7.338703041,17.71766699,1.476217884,3.449134879,6.04318872,2.197480318,22.82674618
41,T1,47RRX,Shrubland,Reduced,0.183726421,7.522667097,32.31479452,24.27383213,15.272573,1.972670513,4.143536115,72.18082285
18,T2,25LRX,Shrubland,Reduced,1.684130169,29.74162736,30.633013,,10.19760505,27.57087747,5.333836053,61.47008298
30,T2,35LRX,Shrubland,Reduced,1.938365443,35.5222352,29.4478026,18.95533476,9.963910134,,6.792879138,60.8635542
34,T2,45LRX,Shrubland,Reduced,3.706315417,48.17489612,56.21032343,19.51347603,12.89864413,2.51542649,14.57512386,78.12355897
42,T2,47RRX,Shrubland,Reduced,1.842237603,12.26624856,29.36674179,5.308275984,19.46953462,4.809817852,6.901027932,65.27087626
19,T3,25LRX,Shrubland,Reduced,2.192017359,15.23581062,32.78943562,7.19306158,8.444509589,5.369962011,84.46387335,50.61902415
31,T3,35LRX,Shrubland,Reduced,3.827205875,19.59793322,92.38334511,20.42923456,30.9307364,12.06346323,37.35633289,147.5705219
35,T3,45LRX,Shrubland,Reduced,2.0290403,13.01130074,38.93804006,7.007701615,10.04089119,2.999226426,8.589240288,58.01567317
43,T3,47RRX,Shrubland,Reduced,1.593885083,21.55286187,32.79159509,6.036560195,7.513018577,4.574591014,8.723547209,47.93505895
