time,label,veg,prec,ag,ap,bg,bx,cbh,lap,nag,enzyme_c
T2,27RXX,Shrub,Ambient,0.45264410252758586,1.4656364463696856,1.7307624059874445,0.9699560743304025,0.9377776027041399,1.0541301295186971,1.1257686463041485,1.8729129317823425
T2,32RXX,Shrub,Ambient,0.9411162066796169,4.769850455884186,1.6828487341926845,0.9337932007534822,0.9526053737275813,0.3169077905616907,1.1377323565095863,1.8719360328250965
T2,35LRX,Shrub,Reduced,0.28743565873744614,1.5505002855571648,1.469052893145289,1.2777314586536535,0.9984298019138442,3.137812934978283,0.832053887500241,1.7803562955771446
T2,45LRX,Shrub,Reduced,0.568942376131316,1.682820786875079,1.7498160842145039,1.2903346391861452,1.1105440609443276,0.40061163022026003,1.1636122542054634,1.9653369982428541
T2,46RXX,Shrub,Ambient,0.8746117436864517,1.585310614689427,3.798590774318466,1.9031828856989241,0.9858352000481997,0.5281524031373239,1.1631239631845403,3.805250770589152
T2,47RRX,Shrub,Reduced,0.26534564276789135,1.0887117607657935,1.46785576461554,0.724953494304654,1.289355570674601,0.6821286299012231,0.838913785192514,1.7480855678953877
T2,48LXX,Shrub,Ambient,0.388917742487773,4.206561313967164,1.5494887878738275,3.9359952944516805,0.8156283920274255,-0.10528575364894852,0.6040237408292188,3.9382254728227264
T2,4LXX,Grass,Ambient,0.6586622113934585,1.6599583735812742,1.9535265241328965,1.6521487918400706,1.7728805429414451,1.0664636199319535,1.7357059855934063,2.2979239410132903
T2,5RRX,Grass,Reduced,0.8604914494307628,1.7117978445649868,2.166730730560573,1.2725937082392857,1.793845455690398,1.8827445769787006,1.8529135693754692,2.371057591275326
T2,7LRX,Grass,Reduced,0.676980095542529,1.5464100290229954,1.9960601468836068,1.3916532483968036,1.7920605749545695,0.9163375313596763,1.7399751129193886,2.2797661817169335
T2,8LXX,Grass,Ambient,0.3703527245350523,1.2400797961386714,1.8925102827462723,1.257556031992623,1.467392959737091,0.7460047413198102,1.279766418062731,2.106704752454604
T3,14RRX,Grass,Reduced,0.4892516687984073,1.1440445772598935,2.1621744567515315,1.4885113324382588,1.7438688173522323,1.0313796817814775,1.5674275134989968,2.3703233945890405
T3,18RXX,Grass,Ambient,0.3624666509364776,1.2876503659411098,1.894397105544262,1.191434103860906,1.480671298344296,1.2952115584797068,1.2682821865314196,2.1021048612869215
T3,20LRX,Grass,Reduced,0.46625633747832895,1.7799933262027825,2.0121260761788315,1.4411299296146776,1.7526062389439931,1.1547133994740209,1.6746974360425788,2.2786255982174413
T3,22LXX,Grass,Ambient,0.534577634641326,1.1986018336152386,1.7590228535761165,1.1741193316941323,1.4648478996163425,1.094750441612221,1.5026028019575006,2.0209208395798997
T3,25LRX,Shrub,Reduced,0.34084398917180003,1.1828655656640839,1.515733941564994,0.8569137783080742,0.9265744332025561,0.729971213346053,1.9266709934628548,1.7043137684305663
