wavelength	t0-14	t0-18	t0-20	t0-22	t0-25	t0-27	t0-32	t0-35	t0-4	t0-45	t0-46	t0-47	t0-48	t0-5	t0-7	t0-8	t3-14	t3-18	t3-20	t3-22	t3-25	t3-27	t3-32	t3-35	t3-4	t3-45	t3-46	t3-47	t3-48	t3-5	t3-7	t3-8	t5-14	t5-18	t5-20	t5-22	t5-25	t5-27	t5-32	t5-35	t5-4	t5-45	t5-46	t5-47	t5-48	t5-5	t5-7	t5-8	t6-14	t6-18	t6-20	t6-22	t6-25	t6-27	t6-32	t6-35	t6-4	t6-45	t6-46	t6-47	t6-48	t6-5	t6-7	t6-8
1421.28	0.04539935	0.0629565	0.02670038	0.008597301	0.05309073	0.02490018	0.02096508	0.04074628	0.0256553	0.03784356	0.06594199	0.03540133	0.03979672	0.01107576	0.01780881	0.02738987	0.06321478	0.03191883	0.04126424	0.009917607	0.033551	0.08786374	0.04071381	0.07620652	0.04282288	0.08161277	0.08409365	0.01670251	0.07084447	0.0431654	0.09685207	0.04177892	0.03164579	0.04639675	0.08737542	0.07068025	0.05502068	0.09601656	0.09846155	0.0726976	0.09081568	0.05959427	0.06613664	0.08980768	0.04034711	0.06584057	0.07124414	0.05175261	0.1062802	0.03152632	0.08498359	0.06285252	0.0914861	0.0696519	0.04585886	0.1053534	0.07547397	0.03995519	0.06960724	0.08318727	0.04804275	0.07663061	0.05760167	0.03658805
1423.21	0.04572788	0.0629145	0.02679903	0.008570638	0.05316589	0.0248823	0.02086283	0.04098746	0.02568256	0.03761429	0.0659622	0.03552671	0.03964485	0.01106774	0.01755681	0.02757332	0.06376017	0.03208437	0.04126479	0.01002526	0.03351311	0.08860325	0.04038366	0.07618457	0.04322761	0.08130407	0.08406036	0.01667899	0.07081242	0.0431486	0.09737208	0.04209872	0.03174326	0.04653102	0.08667682	0.07075546	0.05533802	0.09594501	0.09852769	0.07273149	0.09064297	0.05959549	0.06580132	0.0898606	0.0401284	0.06572396	0.07108553	0.05224038	0.1056515	0.03176718	0.08457279	0.06314605	0.09150288	0.0698421	0.04571217	0.1051955	0.07554864	0.03963375	0.06921746	0.08319752	0.04780794	0.07666937	0.05810683	0.0368945
1425.14	0.04594721	0.06260549	0.02649497	0.008550158	0.05354664	0.02508922	0.02095322	0.04147402	0.02568162	0.0377293	0.06622914	0.0358639	0.03976516	0.01105207	0.01731769	0.02767936	0.06399994	0.03218095	0.04122427	0.01007879	0.03367132	0.08908379	0.04041453	0.07622338	0.04310121	0.08061503	0.08435161	0.01674621	0.07084943	0.0427613	0.09700768	0.04197468	0.03147619	0.04658674	0.08596922	0.07048246	0.05535847	0.09576802	0.09873056	0.07294457	0.08998814	0.05985812	0.06562813	0.08962201	0.04023827	0.06514889	0.0704832	0.0522344	0.1045515	0.03161062	0.08355705	0.06297064	0.09118148	0.06986041	0.04562983	0.1049471	0.07522454	0.03944448	0.06907341	0.08303905	0.0474704	0.07569736	0.05793401	0.03683662
1427.06	0.04588587	0.0619702	0.02625587	0.008467501	0.05422466	0.02551957	0.02118689	0.04224423	0.02560208	0.03829595	0.06664733	0.03637631	0.04016203	0.01099112	0.01703315	0.02765569	0.06377556	0.03210269	0.04102859	0.01006392	0.03399428	0.08965138	0.04073576	0.07679278	0.04276912	0.08015848	0.08551707	0.01690125	0.07153063	0.04245082	0.09613838	0.04180836	0.03112865	0.04645263	0.08512539	0.07016037	0.05557231	0.09598891	0.09936385	0.07361884	0.08918435	0.06028296	0.0658296	0.08960362	0.04057817	0.06463105	0.06964235	0.05215193	0.1033219	0.03129776	0.08236778	0.06287492	0.09114116	0.07032201	0.04585471	0.1052427	0.07468419	0.03924385	0.06910507	0.0832658	0.04737747	0.0742473	0.05757822	0.0367376
1428.99	0.04562621	0.06110463	0.02608401	0.008417406	0.05516889	0.02611129	0.02160705	0.04321288	0.02548714	0.03909805	0.06728704	0.03711268	0.0407799	0.01095073	0.01678435	0.02754131	0.06319831	0.03193147	0.04079655	0.009993791	0.03449117	0.09036874	0.04128978	0.07782298	0.04236891	0.08009132	0.08756369	0.0171243	0.07287392	0.04238189	0.09477092	0.04169799	0.03079447	0.04621806	0.08423379	0.06981891	0.05612727	0.09668832	0.1004316	0.07479776	0.08838093	0.0609457	0.0664604	0.08984358	0.04118637	0.06410816	0.06859931	0.05189723	0.1021742	0.03096338	0.0810453	0.06282424	0.09135956	0.07114014	0.04645868	0.1061318	0.07393807	0.03913464	0.06929868	0.08399071	0.04748898	0.07253762	0.05728533	0.03667566
1430.92	0.04531624	0.06021126	0.02559805	0.008467493	0.05625581	0.02675501	0.02218068	0.0442545	0.02539314	0.03985319	0.06816081	0.03803452	0.04149421	0.01097093	0.01663009	0.02740446	0.06249062	0.03177758	0.04063913	0.009894061	0.03510393	0.09115437	0.04196547	0.07894906	0.04157899	0.07998407	0.08991075	0.01737446	0.07440764	0.04215888	0.09259035	0.04134725	0.03029924	0.04599792	0.08344561	0.06924578	0.05665074	0.09735924	0.101644	0.07611439	0.08729868	0.06184909	0.06734496	0.08994451	0.04202602	0.06327551	0.06725568	0.05117067	0.1009022	0.03031786	0.07940004	0.06246829	0.09139732	0.07181006	0.04722026	0.107078	0.07305398	0.0391859	0.06961023	0.08475731	0.04752365	0.07038935	0.05663139	0.03636521
1432.85	0.04478317	0.05930245	0.02509879	0.008471773	0.05734123	0.02739841	0.0227275	0.0453623	0.02525358	0.04063229	0.0690704	0.0389292	0.04221937	0.01095754	0.01645558	0.02719358	0.06151828	0.0315235	0.04037216	0.009752017	0.03568761	0.09220009	0.04260394	0.0801738	0.04063516	0.07998628	0.09229504	0.01762366	0.0759903	0.04191027	0.08992864	0.04097334	0.02982289	0.04565137	0.08266539	0.0686652	0.05724205	0.09797064	0.1029008	0.0774795	0.08609467	0.06273322	0.0684415	0.09008369	0.0428413	0.06253373	0.06570604	0.05032502	0.09958915	0.0296247	0.07772911	0.06207874	0.09142797	0.07253764	0.04796902	0.1082053	0.07222597	0.03916878	0.06994332	0.08567268	0.04764605	0.06817165	0.05575017	0.0359584
1434.78	0.0436595	0.05823399	0.02500086	0.00820734	0.05832297	0.02797669	0.02303714	0.04656378	0.02493529	0.04160887	0.06974886	0.03954886	0.04287674	0.01077671	0.01609462	0.0267859	0.0598954	0.03093009	0.03970339	0.009532104	0.03608541	0.09346779	0.04303319	0.08147344	0.03987328	0.0802692	0.09473285	0.0178617	0.07754993	0.04192269	0.08714114	0.04085389	0.02946079	0.04491584	0.08166452	0.0682862	0.05804078	0.098755	0.1042533	0.07888105	0.08511582	0.0632702	0.06957213	0.09045631	0.04332304	0.06212871	0.06424509	0.04976867	0.09831861	0.02921554	0.07620834	0.06190705	0.09171709	0.07337954	0.04871937	0.1095643	0.07143149	0.03876799	0.07021499	0.08677913	0.04800184	0.06646577	0.0551412	0.03581734
1436.71	0.04206624	0.05711406	0.02454639	0.00772544	0.0591488	0.02839682	0.02309738	0.04773154	0.02446378	0.04259658	0.07016759	0.03986359	0.04337008	0.01046163	0.01558679	0.0262413	0.05779768	0.03007437	0.03874194	0.009269185	0.03628163	0.09433652	0.04319312	0.08240977	0.0389169	0.08031433	0.09665801	0.01807841	0.07865136	0.04156398	0.08393339	0.0403225	0.02896134	0.04389814	0.0804985	0.0676977	0.05844279	0.09912948	0.1054024	0.07997361	0.08393542	0.06346671	0.07047262	0.09050973	0.04345931	0.06148439	0.06276419	0.04890708	0.09673636	0.02862749	0.07440494	0.06137278	0.09154616	0.073812	0.04927157	0.1105503	0.07042368	0.03805951	0.07042476	0.08746143	0.04810636	0.06485033	0.0542217	0.03542839
1438.64	0.04075518	0.05633475	0.02375531	0.007402433	0.05987479	0.02881486	0.02321286	0.04872074	0.02407189	0.04339949	0.07065367	0.04014418	0.04382614	0.01023559	0.01517595	0.02582721	0.05612765	0.0294197	0.03803171	0.00907472	0.03651733	0.09493163	0.04334875	0.0830873	0.03786259	0.08012054	0.09791197	0.01829172	0.07953956	0.04093865	0.08059156	0.03949703	0.02841677	0.04311927	0.07948915	0.06696817	0.05851244	0.09914555	0.10617	0.08071942	0.08266314	0.06374893	0.07127605	0.09025053	0.04365718	0.06061133	0.06136627	0.04784869	0.09502351	0.02792791	0.07255349	0.06053819	0.09082856	0.07405536	0.04961831	0.111178	0.06954394	0.03755203	0.07068861	0.08791595	0.04794934	0.06334323	0.05309416	0.03470192
